,Faecalibacterium_prausnitzii,Bacteroides_uniformis,Bacteroides_vulgatus
MH0057,-1.6882006425423652,-0.8839732987064387,-1.3455548599565592
MH0058,-1.1672789757745,-1.5116650079625809,-0.9496088758785841
MH0059,-1.5138130246103265,-1.377394479993594,-1.076057329481935
MH0060,-1.0297818144232735,-0.957547189048051,-1.4151763496282184
MH0061,-1.6793893342052186,-6.0,-1.7518743114258926
MH0062,-1.096989933012073,-6.0,-6.0
MH0063,-1.3413831205275366,-1.7245573493912245,-1.683960412183991
MH0064,-1.1067261122490628,-1.58234221542471,-1.9975288871617858
MH0066,-1.5394068621778834,-0.8672113635310068,-1.7934853461344484
MH0067,-1.14123161218988,-0.9884938773692069,-6.0
MH0069,-1.2174615172106826,-0.872395536631503,-1.4699431578903568
MH0070,-1.2407856738940966,-1.3626903305991516,-1.3756847837265866
MH0072,-1.096236520936543,-0.6536149727534731,-0.7750841444903328
MH0073,-1.2105912875511065,-1.0876591545111904,-2.9066505411294132
MH0074,-1.776113188305437,-1.417049255762461,-6.0
MH0075,-1.35604328707691,-1.5035042742220677,-1.8134819239492872
MH0076,-1.2479735343004272,-1.6246765363348172,-0.6742583332292561
MH0077,-0.9865894830503544,-2.0760659368795302,-4.856594763835914
MH0078,-1.5830846760974728,-2.916540407639921,-2.231289335858989
MH0079,-1.6243666460088022,-1.472515312598755,-1.6011377577579133
MH0080,-1.481223892488368,-1.6349423028437993,-0.954756720967331
MH0081,-1.3566203484561417,-1.0579280620957219,-0.9446578127381219
MH0082,-1.4795876099040755,-1.9007788928773242,-0.9937722019155766
MH0083,-0.8332731975648526,-1.1748044746025625,-1.5327354845684895
MH0084,-1.8959669523763132,-2.1596588992603687,-1.304720088125051
MH0085,-1.2635150533880488,-1.0387787343338795,-1.2327026781438453
MH0086,-1.0280516928028678,-1.3511524323072268,-2.905178080889595
MH0087,-6.0,-0.4377014953957453,-4.595081875699603
MH0088,-3.8634888241612626,-0.6200890282920569,-1.2257327844950936
MH0089,-0.9226917869708524,-0.880683713923783,-1.7986927624502498
MH0091,-1.4775335547612236,-1.4820675098739526,-1.221185370979372
MH0092,-1.2034235532639046,-0.7498837660878049,-1.0759071179845774
MH0093,-1.6539431002344684,-0.9935920149729446,-0.8813623156423109
MH0094,-1.431512862304446,-0.751485293303288,-1.1766934337403787
MH0095,-1.8876247306897336,-1.6580040550318766,-0.9525764751810847
MH0096,-1.1557539309867995,-3.22510163149665,-2.2518856581515196
MH0097,-1.709657420086821,-1.7217720048189493,-0.7560589577981086
MH0098,-1.274361542593174,-1.5040664801815213,-1.417238478630855
MH0099,-0.95681921962008,-1.7194739986834913,-1.1639625860170955
MH0100,-1.0600659224442566,-1.8543880930249095,-1.6618240087986806
MH0101,-2.200367075337761,-1.6279283878521864,-1.316658524153398
MH0102,-1.0243481166124602,-1.3889788558808895,-2.004049390593085
MH0103,-1.4276923780363588,-1.4765310573942274,-1.2546166938018122
MH0105,-1.597069441709728,-2.3446686536596566,-1.1544928384201671
MH0106,-2.046614012268377,-1.4965519375059984,-4.107293227067893
MH0107,-1.3692037715253986,-1.9784699078334587,-1.779675723377978
MH0108,-1.9997079813895886,-2.93289077106029,-1.125605318153528
MH0110,-1.862162678894575,-1.1066685052171739,-0.5531702003485929
MH0111,-0.9954917227818437,-1.5345352611507594,-0.8052351246876861
MH0113,-0.9541710146970664,-1.1306488427561834,-1.035915539352199
MH0114,-2.1615048873116898,-1.1581012525413805,-0.4560091152601661
MH0115,-0.8231336051556757,-0.9595373057119101,-1.5211364894172417
MH0116,-1.5141972648482942,-1.194061709888554,-1.3835195366291375
MH0117,-0.8626126265063083,-1.3231304555181829,-1.0352503425396504
MH0118,-0.9022104236678394,-1.8207797480818153,-2.6413844431762747
MH0119,-1.4352692778035063,-1.6325922917878917,-0.9297362085603309
MH0120,-1.768249145638617,-1.702910839072546,-1.8234929994932458
MH0121,-1.4934578466082815,-1.0250270574333828,-0.6168061357498176
MH0122,-0.8944496708949775,-1.1493736307671687,-0.8908441944840543
MH0123,-1.2992093852072892,-1.0004306290162515,-5.193538588203208
MH0124,-1.4867846179535662,-1.4722187280567853,-1.5286307475598464
MH0125,-1.2758516574396817,-1.461321844453008,-6.0
MH0126,-1.100161058218387,-1.7640695224159422,-2.062100795654457
MH0127,-1.1511000163237861,-1.0840499101642536,-4.235049867932779
MH0128,-1.3904382924255125,-0.8612824091140752,-4.348155735213527
MH0130,-1.7786689854524473,-2.2200607568486874,-1.8711178552702477
MH0131,-1.2497218591941994,-2.4695266908251443,-2.516846293494114
MH0132,-1.4749239037828143,-1.9581420339487234,-2.7029436418986665
MH0133,-1.2746055085119716,-0.5078267988107751,-4.866732897065768
MH0134,-1.157232935746355,-1.0532679024788218,-0.542789225533791
MH0135,-0.9935076647866359,-1.1243853990084964,-1.1192110178635937
MH0136,-1.2841103942368985,-0.8293836800299288,-1.0731703652756444
MH0137,-1.1916072278418803,-1.248899834573091,-1.569695428776302
MH0138,-1.4465371118097539,-4.0822979002553135,-3.265161531652787
MH0140,-1.6848252982169145,-1.4046671563984199,-1.7451192330091703
MH0141,-1.3944603586275184,-2.2325115043838624,-2.017954038597784
MH0144,-1.4810932720371714,-1.7605052542688435,-1.4776805062556626
MH0147,-1.5288019767901815,-1.0332496675597438,-1.4844129541761675
MH0148,-1.3367898602876196,-1.0805513934308983,-1.369319074797548
MH0149,-1.2707228212691912,-0.9467321035827913,-0.9321376760597846
MH0150,-1.7244797244795234,-0.9739902640472722,-0.8805300296658041
MH0151,-1.723099870090803,-1.8986606357427402,-1.6706682431946025
MH0152,-1.1291679130770242,-2.2665825882267483,-2.0294956635979142
MH0153,-1.765340432203654,-1.3272260371209192,-6.0
MH0154,-1.3899475022093397,-2.3749149819346145,-1.152511042989884
MH0155,-1.6475059595118777,-0.8602130402541498,-1.5403404634812254
MH0156,-2.0385895504870346,-0.5600292501361953,-0.587720707381702
MH0157,-1.2831587552437407,-1.579615625666993,-1.3222393265349077
MH0158,-1.1632813442125307,-1.1463816466394496,-0.8957306040277585
MH0159,-1.9152440707588023,-0.8680908952879591,-1.1364148129762621
MH0160,-0.8589436489510507,-1.0551249827700901,-6.0
MH0161,-0.722751379380691,-1.5935379129477443,-2.106538451287516
MH0162,-1.3355489008099242,-0.9455732213067046,-1.1531371771521184
MH0163,-0.9969818319548925,-4.563579335375658,-1.3040745451060765
MH0165,-1.3513031749017794,-1.6257600406134092,-1.2017148435118477
MH0166,-1.579226020394417,-0.46365577006771047,-4.814497057136894
MH0167,-1.3393233665311703,-1.2751003065277964,-0.7773622762754789
MH0168,-1.295204584925565,-1.9082137215930686,-1.3335571479488673
MH0170,-1.028251058567714,-0.9921112206250138,-3.7015443393543026
MH0172,-1.2900437566796452,-1.283867139528283,-1.1127093940545367
MH0174,-1.2612900328662362,-1.4371050762264024,-1.129071551363518
MH0175,-1.124077778501138,-1.6368411407588188,-1.4129397852944858
MH0176,-0.9720002912616869,-1.4515733716334822,-0.9691946454105482
MH0177,-1.1080412756942108,-1.1922076379886979,-0.9173716873243433
MH0178,-1.8023109471421686,-0.5023826551794488,-1.7568009486612417
MH0179,-1.4794071787776821,-6.0,-0.9129987453079708
MH0180,-1.3776384471891914,-1.283637590366053,-0.8865894238870536
MH0181,-1.31089438637197,-1.3034468151616951,-1.3656433961053207
MH0182,-1.711631295695184,-0.4794797052066715,-0.7193351197948443
MH0183,-1.2907281595406048,-2.0027082982565463,-1.75882494078265
MH0184,-1.3827578715150908,-0.9677612842484818,-0.6709205680539674
MH0185,-1.2436910328494342,-0.8122863094368576,-0.7250548321976104
MH0186,-2.0251134092958836,-6.0,-0.6109076892413136
MH0187,-1.4631810844602742,-1.9954552019568046,-4.6634952726887295
MH0188,-0.824630696196955,-0.9252782078992956,-1.3422083780782008
MH0189,-1.3066235387035385,-3.0504145904227795,-2.141217584091866
MH0191,-0.8381399052716992,-1.1301536454098016,-1.1954602792273503
MH0193,-1.3806895494032143,-0.9094811279199265,-6.0
MH0195,-1.4977245758827997,-1.4091522723436183,-1.4534603196320819
MH0196,-1.2040798373359407,-1.0950560381697503,-1.1837956267800627
MH0197,-1.0948069301918146,-2.031809769963099,-1.8065325430928094
MH0198,-1.1415674793222443,-6.0,-0.6958528595502615
MH0199,-1.1191324026443472,-1.2107946399240475,-0.7778056483021577
MH0200,-1.3578160455606108,-1.787284257124604,-2.0736779129889604
MH0203,-1.5701970827761622,-1.0611409994907839,-1.3496478631691993
MH0204,-1.013767791482884,-1.6393196968505408,-6.0
MH0205,-0.9920810171565457,-0.6589087682279505,-1.4013481385086863
MH0206,-1.3307362252676818,-1.0204648785845594,-1.3989322443395447
MH0211,-1.2829491825625072,-1.2060278075872541,-0.5554636213313371
MH0212,-4.336790899276345,-0.5531031384414022,-1.7823391503795731
MH0217,-1.2461563654108188,-1.673528050951956,-1.994008856057608
MH0220,-0.7458424370300177,-1.1670575902176805,-2.2566509761487112
MH0224,-1.491241492901811,-2.0421866823671895,-2.1511649726766406
MH0227,-1.3014345071753506,-0.6653254989282054,-5.522851788396362
MH0229,-1.1203824992763454,-0.8533372723085686,-3.7861536404844194
MH0230,-1.0903282511682515,-1.0069808927927861,-6.0
MH0233,-1.5809401592690577,-0.24608745989108285,-4.026690355299123
MH0236,-1.027487958771706,-0.9962433759681834,-6.0
MH0239,-2.3491864004802836,-0.4716542467411116,-1.2748733572559305
MH0243,-1.2327596139249406,-3.4397754331125348,-2.3104745538033327
MH0244,-1.4820668720533576,-1.5318264382291387,-1.119057056406555
MH0247,-1.5188353967277775,-0.7020342580017578,-3.3291006261047382
MH0250,-1.1304310060737883,-0.6833838180569204,-1.516226370826191
MH0251,-1.0982349850053723,-0.5392329193038738,-0.8989919943321317
MH0253,-1.038859131398464,-1.0330616776585255,-1.4591951685508704
MH0257,-1.5972653277277877,-2.641863035966538,-2.253032031402906
MH0267,-0.9729679664528128,-1.4945923567676183,-1.3341541502184349
MH0272,-1.1962202609283121,-1.6048729612354835,-1.0511180235594313
MH0274,-1.3858547684135507,-1.1661055890957959,-0.5181897902690676
MH0275,-1.2960869878104246,-0.6353419917210434,-1.4573341772146025
MH0276,-0.9192585571664387,-2.268950075161613,-2.500859781227777
MH0277,-4.202021932364574,-3.389363036930165,-6.0
MH0286,-1.1319746154949901,-1.7112023184879912,-1.8281076283185478
MH0287,-1.0520682481435661,-2.2680287672704638,-0.8408885739263894
MH0288,-0.7990738594646746,-2.161860489899298,-1.4354182675134795
MH0289,-1.4487683751979528,-1.5098125958345987,-1.1012592084593116
MH0292,-0.8252808918104073,-4.321449135194029,-3.8699551149229032
MH0302,-1.54123375805946,-0.2463069319165609,-1.1441011992546553
MH0305,-0.9678943790668721,-6.0,-6.0
MH0307,-1.5209089671288334,-1.994397145275843,-1.857498773551182
MH0313,-1.4042977183111536,-2.3119287313207932,-1.678902001956843
MH0316,-0.9395060214788321,-0.846424702545524,-1.1736253311468003
MH0318,-1.391267930356204,-1.7226440915525512,-1.8416640813827931
MH0321,-1.3164731214963004,-2.3711942252480407,-1.5029906987170412
MH0322,-1.2909683146208049,-1.6680730401044614,-1.7868981907251995
MH0333,-6.0,-4.7579285570579755,-6.0
MH0403,-1.0255783536710068,-1.4929534158711613,-1.0268447345253455
MH0404,-1.0342559217857026,-1.982254354252223,-1.4559186348723776
MH0405,-1.3204099581558733,-2.081106167000391,-1.7351673087335544
MH0406,-1.875986798496321,-1.5573646652199724,-1.6009489473843213
MH0407,-1.1992910490699098,-2.6687149051743595,-2.8739864459069397
MH0408,-0.9913370878148845,-1.0124772851932509,-1.3029953004391104
MH0409,-0.9788095559613815,-1.3987738204588198,-1.0989756567084425
MH0410,-0.9179093745185682,-0.5938396035902934,-4.190426517667896
MH0411,-0.8987857366438382,-1.002247421886081,-4.657207323150963
MH0412,-1.0953537470774737,-0.990717757871109,-0.8526694991462477
MH0413,-1.1698021480983285,-2.40093385283774,-1.7410936422534895
MH0414,-1.6382760592051422,-2.3140261619120537,-1.6496066229175343
MH0415,-1.103141406230449,-1.1253540669225268,-4.765518798989749
MH0417,-1.5918961734237964,-1.3800882089879183,-1.91908607771007
MH0418,-0.9200434519743723,-1.2554976318517472,-1.4983444078489252
MH0419,-1.202150469016875,-3.667336632283967,-3.400562892296777
MH0420,-0.7615339034931653,-1.6240679006926557,-1.4027576169080698
MH0421,-1.2219195367456557,-2.5471438553251047,-2.2484993454046043
MH0422,-0.938030417693104,-1.4554794446470387,-1.0932656563597085
MH0423,-0.8131144817779512,-1.056219625730852,-1.3424209018832158
MH0424,-1.1250595316527514,-0.9733911578186794,-1.32109701471517
MH0425,-1.014694974131208,-0.9895037339538759,-0.8786736341751141
MH0426,-1.1484463065587327,-1.0988472624376577,-1.1031966100000954
MH0427,-1.667579011267535,-2.773479967631473,-1.6337331208304544
MH0429,-1.4381055727656546,-1.2741786291416226,-1.173177055219235
MH0430,-1.0581991744338497,-1.8878052689238154,-1.8565824552928014
MH0431,-1.6442047620023483,-1.2270310939193476,-3.198777788396534
MH0432,-1.3817665319846544,-1.0738364642149192,-1.1199448377882377
MH0433,-2.281662506800528,-0.6216429009427774,-1.7365065896426133
MH0434,-1.2652931454928311,-1.3005974288773252,-1.4235516648729492
MH0436,-1.5471325937156837,-2.4632406390625623,-1.8287025365124514
MH0437,-1.4494611899532308,-1.6125219089491942,-4.404620821889425
MH0438,-0.9351606394608836,-1.231921314957025,-1.206520475127577
MH0439,-1.285317799776665,-1.5767918416296478,-1.6420171935224268
MH0440,-1.2939233494165094,-1.4509095217342693,-0.9711447695558753
MH0441,-0.6901305561348152,-0.8844974307771664,-2.0350129250057045
MH0442,-1.226297055243997,-1.8529614194691892,-1.6662069573786005
MH0443,-1.0211941897056815,-1.1471050575209196,-1.5800022210357185
MH0444,-4.912784770604339,-0.6873263155611568,-1.0685002901097407
MH0445,-1.209175286232059,-1.0668960229082451,-0.8458271917212019
MH0446,-1.362110985886549,-1.1819417520018154,-1.2949722469198648
MH0447,-0.8358105092120113,-1.9079987674178307,-1.6751546284133292
MH0448,-1.6629736216125734,-1.290064389330005,-2.1161301449579164
MH0450,-1.160672750829339,-1.8413460231340333,-1.2643720931867501
MH0451,-1.0885252591228043,-1.0200483194738506,-1.1003120888338378
MH0452,-1.0022245551065512,-0.8806811234145276,-1.3290471342752352
MH0453,-1.0922593201070045,-0.7863239503916548,-1.0185283211555087
MH0454,-1.0651226757878312,-1.0932854115310795,-1.8457572708519876
MH0455,-1.0431993243916027,-3.9935339577507682,-4.3819519032879075
MH0457,-1.1456241534957763,-1.5982509006987424,-1.7033376030264522
MH0458,-1.1190869380611368,-0.9111996343576535,-1.2408338610861822
MH0462,-1.3663025885215492,-1.065591942442907,-0.6521344442414004
