,Clostridium_sp_CAG_58,Fretibacterium_fastidiosum,Ruminococcus_lactaris,Roseburia_sp_CAG_182,Roseburia_sp_CAG_303
MH0206,-4.664863616842006,-4.378125085287249,-2.3790858903899816,-2.315427200503535,-6.0
MH0211,-2.468981807228149,-5.346349911674071,-6.0,-6.0,-6.0
MH0212,-3.1173564251822072,-5.283624036386627,-6.0,-6.0,-6.0
MH0217,-6.0,-4.718864841571309,-2.9060858966140963,-6.0,-6.0
MH0220,-2.3343152351286482,-4.210727327095171,-2.072980841063694,-3.3657245505934874,-3.579476561951288
MH0224,-6.0,-4.361318782902549,-2.3822161759108327,-4.007252004626721,-6.0
MH0227,-3.1745984297955694,-6.0,-3.0648051650292456,-6.0,-6.0
MH0229,-6.0,-4.461859860768383,-1.8842819181158517,-3.002807940485307,-2.758571556379201
MH0230,-6.0,-6.0,-2.6861252696043723,-6.0,-6.0
MH0233,-5.387077206640512,-6.0,-6.0,-6.0,-6.0
MH0236,-6.0,-4.638216370226093,-2.4542017290613876,-6.0,-6.0
MH0239,-1.9709220697814764,-5.251803054315012,-6.0,-6.0,-6.0
MH0243,-6.0,-6.0,-2.9320982605430155,-3.793786494913089,-6.0
MH0244,-4.319574200941127,-4.525694619411609,-6.0,-6.0,-6.0
MH0247,-2.605613944280656,-6.0,-6.0,-6.0,-6.0
MH0250,-3.268982892115415,-4.468214227096438,-2.694547686447362,-4.082182160800591,-3.325007049422342
MH0251,-6.0,-5.309802606449252,-2.1139647204167518,-6.0,-4.621600517780706
MH0253,-2.6658780654110545,-4.31766755204809,-1.7132309470734994,-2.6147031665082547,-6.0
MH0257,-3.3018045127362052,-4.751278162296083,-6.0,-6.0,-6.0
MH0267,-3.0494633766839705,-4.48009976853543,-6.0,-4.134230466928331,-6.0
MH0272,-6.0,-4.502670715750889,-3.0983474399954827,-6.0,-6.0
MH0274,-6.0,-4.974148377862996,-4.0050863810512345,-6.0,-6.0
MH0275,-6.0,-4.2238606786921915,-6.0,-6.0,-6.0
MH0276,-6.0,-4.589693175368051,-3.009761464100067,-2.300137759535329,-6.0
MH0277,-6.0,-6.0,-6.0,-6.0,-6.0
MH0286,-6.0,-3.670799583502283,-6.0,-2.5683153484355348,-6.0
MH0287,-3.66876548980044,-6.0,-6.0,-2.5194922761648297,-6.0
MH0288,-6.0,-4.5315042992848085,-2.3252608364984235,-2.0883958330866546,-6.0
MH0289,-3.244386276219791,-6.0,-6.0,-6.0,-6.0
MH0292,-6.0,-6.0,-2.2048100745514705,-6.0,-6.0
MH0302,-2.6318902359342933,-5.169709265663585,-6.0,-6.0,-6.0
MH0305,-2.2424608567051143,-6.0,-6.0,-6.0,-6.0
MH0307,-3.138723174541574,-4.298156819923182,-1.9341470027255077,-5.309580431039435,-6.0
MH0313,-6.0,-6.0,-2.497449518223081,-3.2552709461453397,-6.0
MH0316,-3.2260553026189114,-4.758956040890265,-2.215900351587312,-6.0,-6.0
MH0318,-6.0,-4.309595374430915,-2.346783462808787,-2.769805675905711,-6.0
MH0321,-6.0,-5.243907734388158,-2.8205582919264622,-6.0,-6.0
MH0322,-4.367489513350318,-6.0,-2.888414234752527,-3.2851131286382045,-6.0
MH0333,-2.2930350157269976,-6.0,-6.0,-6.0,-6.0
MH0403,-3.088231997670681,-4.7350076761517,-6.0,-2.040917298077026,-6.0
MH0404,-3.177505346049987,-6.0,-6.0,-6.0,-6.0
MH0405,-6.0,-5.2217143787597795,-2.690655969755929,-6.0,-6.0
MH0406,-2.5463540362999586,-5.173815518588087,-6.0,-6.0,-6.0
MH0407,-6.0,-4.506181238924361,-2.620911094984544,-1.445048013244424,-6.0
MH0408,-2.7748680203690066,-5.05452637495851,-2.011909115906732,-1.7213761527209028,-6.0
MH0409,-3.7516745877505113,-5.086091793048351,-2.5097654722748777,-3.043580130225983,-6.0
MH0410,-4.119172607215493,-5.267594845359194,-2.674019058393071,-6.0,-3.4076982352966847
MH0411,-6.0,-4.694280203858079,-3.2035940433244248,-6.0,-6.0
MH0412,-2.7828548812687726,-4.472315565377313,-2.67936138604605,-3.522533297951411,-6.0
MH0413,-3.015403430959391,-4.35061201434472,-6.0,-6.0,-6.0
MH0414,-2.9634511258155847,-6.0,-2.7319898555213267,-6.0,-6.0
MH0415,-3.0352987024453997,-4.5884340635692515,-2.0892594306978247,-3.0044422617174145,-5.295416250076668
MH0417,-6.0,-4.464779797970281,-2.3633367941798893,-6.0,-6.0
MH0418,-3.303188191716058,-6.0,-6.0,-6.0,-6.0
MH0419,-6.0,-4.683621419621726,-2.016229021011337,-4.107481946677675,-6.0
MH0420,-5.494781069697123,-6.0,-2.148990174221061,-6.0,-1.2720291988691554
MH0421,-6.0,-6.0,-2.5904117113509613,-3.073114644511335,-6.0
MH0422,-3.1635832009341556,-4.303552660000763,-3.8842973808554877,-6.0,-6.0
MH0423,-6.0,-4.497482811598013,-2.6034810169009943,-6.0,-6.0
MH0424,-6.0,-6.0,-6.0,-6.0,-6.0
MH0425,-3.1103520500863002,-6.0,-6.0,-4.490787629687432,-3.1087870231855406
MH0426,-2.834030389236811,-4.497502417160268,-2.9027394351686113,-6.0,-6.0
MH0427,-3.059182055129903,-6.0,-6.0,-6.0,-6.0
MH0429,-2.5595925047006194,-5.0806564880747045,-3.128651378881504,-6.0,-6.0
MH0430,-6.0,-3.9666014600436013,-2.435559998411354,-3.184549938460073,-6.0
MH0431,-6.0,-4.081217536701112,-6.0,-6.0,-6.0
MH0432,-6.0,-5.214369010891682,-2.45819797879462,-6.0,-6.0
MH0433,-2.110746013933493,-4.549527845071306,-6.0,-6.0,-6.0
MH0434,-2.9957452333728276,-4.304161697466452,-2.05768759207828,-3.6593919394662873,-6.0
MH0436,-3.217735635305485,-4.826673362652425,-4.761812127218705,-6.0,-6.0
MH0437,-6.0,-4.125769093241322,-2.3924345912723157,-2.1377021610453872,-6.0
MH0438,-6.0,-4.547933777829904,-2.195952546669044,-2.619498847275144,-6.0
MH0439,-6.0,-4.8760634826983384,-2.7260739547272332,-6.0,-6.0
MH0440,-6.0,-4.320423041024167,-6.0,-6.0,-6.0
MH0441,-6.0,-4.862849739718617,-3.0977519263362123,-6.0,-6.0
MH0442,-2.266403385222629,-3.6400402767459363,-1.826904866722349,-2.9348085710561937,-6.0
MH0443,-6.0,-4.9912010158524005,-6.0,-6.0,-6.0
MH0444,-6.0,-6.0,-6.0,-6.0,-6.0
MH0445,-6.0,-4.308507832139395,-1.761682848776944,-6.0,-6.0
MH0446,-3.99313166007619,-4.409654539849278,-2.5934796679715606,-6.0,-6.0
MH0447,-6.0,-4.39887943488533,-1.9889933567418787,-2.518176686664231,-6.0
MH0448,-6.0,-4.127577350585642,-2.123043332680237,-3.642128243582088,-3.960147703760151
MH0450,-6.0,-4.829570517112942,-1.7038068275916538,-2.3729256881535754,-6.0
MH0451,-2.71456598627185,-4.378790270796067,-2.6144845967495054,-2.659382840207492,-2.1912417498173866
MH0452,-6.0,-6.0,-6.0,-6.0,-6.0
MH0453,-2.7927781914082837,-4.6814824326642945,-6.0,-6.0,-6.0
MH0454,-3.8912764574067613,-4.095667860517419,-1.9680320168350738,-3.528842607451927,-6.0
MH0455,-6.0,-6.0,-3.682145510668531,-6.0,-6.0
MH0457,-6.0,-5.0064524683709415,-2.3117011828521616,-2.8045153522509194,-3.5242292839343996
MH0458,-6.0,-6.0,-6.0,-6.0,-6.0
MH0462,-2.768090616663463,-6.0,-6.0,-6.0,-6.0
